index:   15, size:  72965, qp: 25, enc_time:  3.83, black: 0, mvx:     5, mvy:    -3, intra_mb:  1206, inter_mb:  6954, intra_ratio: 14.78, satd:    8386761, sqoe_score: 9.87479, sqoe_fr_score: 9.81310, recommend_rate:  25175,ssim: 0.98262, y_psnr: 40.567, u_psnr: 41.868, v_psnr: 42.769, yuv_psnr: 41.005, vmaf: 0.000, frame_type: 3
index:   16, size:  73191, qp: 25, enc_time:  3.90, black: 0, mvx:    -1, mvy:     0, intra_mb:  1136, inter_mb:  7024, intra_ratio: 13.92, satd:    8458781, sqoe_score: 9.64613, sqoe_fr_score: 9.72836, recommend_rate:  28745,ssim: 0.98298, y_psnr: 40.609, u_psnr: 41.999, v_psnr: 42.878, yuv_psnr: 41.066, vmaf: 0.000, frame_type: 3
index:   17, size:  72066, qp: 24, enc_time:  3.63, black: 0, mvx:  1148, mvy:  -562, intra_mb:  7555, inter_mb:   605, intra_ratio: 92.59, satd:    6617851, sqoe_score: 9.27413, sqoe_fr_score: 9.76073, recommend_rate:  38000,ssim: 0.99199, y_psnr: 44.615, u_psnr: 46.798, v_psnr: 46.992, yuv_psnr: 45.185, vmaf: 0.000, frame_type: 3
index:   18, size:  71089, qp: 24, enc_time:  3.63, black: 0, mvx:   520, mvy:  -925, intra_mb:  7062, inter_mb:  1098, intra_ratio: 86.54, satd:    5809161, sqoe_score: 9.44528, sqoe_fr_score: 9.74742, recommend_rate:  38000,ssim: 0.99248, y_psnr: 45.419, u_psnr: 47.498, v_psnr: 47.532, yuv_psnr: 45.943, vmaf: 0.000, frame_type: 3
index:   19, size:  68621, qp: 23, enc_time:  4.64, black: 0, mvx:    74, mvy:  -184, intra_mb:  6088, inter_mb:  2072, intra_ratio: 74.61, satd:    5808851, sqoe_score: 9.75004, sqoe_fr_score: 9.81983, recommend_rate:  22801,ssim: 0.98857, y_psnr: 45.268, u_psnr: 47.315, v_psnr: 47.492, yuv_psnr: 45.802, vmaf: 0.000, frame_type: 3
index:   20, size:  84153, qp: 23, enc_time:  3.60, black: 0, mvx:   268, mvy:  -253, intra_mb:  7557, inter_mb:   603, intra_ratio: 92.61, satd:    5764783, sqoe_score: 9.76169, sqoe_fr_score: 9.84676, recommend_rate:  38000,ssim: 0.99018, y_psnr: 45.891, u_psnr: 45.765, v_psnr: 45.389, yuv_psnr: 45.813, vmaf: 0.000, frame_type: 3
index:   21, size:  63591, qp: 22, enc_time:  3.51, black: 0, mvx:    28, mvy:  -201, intra_mb:  7932, inter_mb:   228, intra_ratio: 97.21, satd:    4082123, sqoe_score: 9.75813, sqoe_fr_score: 9.81952, recommend_rate:  38000,ssim: 0.99474, y_psnr: 48.110, u_psnr: 49.446, v_psnr: 47.692, yuv_psnr: 48.225, vmaf: 0.000, frame_type: 3
index:   22, size:  75323, qp: 22, enc_time:  3.50, black: 0, mvx:   407, mvy:  -218, intra_mb:  7839, inter_mb:   321, intra_ratio: 96.07, satd:    4978688, sqoe_score: 9.74159, sqoe_fr_score: 9.87133, recommend_rate:  38000,ssim: 0.99248, y_psnr: 47.343, u_psnr: 47.324, v_psnr: 46.937, yuv_psnr: 47.290, vmaf: 0.000, frame_type: 3
index:   23, size:  59580, qp: 22, enc_time:  3.63, black: 0, mvx:   814, mvy:  -686, intra_mb:  6886, inter_mb:  1274, intra_ratio: 84.39, satd:    3977554, sqoe_score: 9.36348, sqoe_fr_score: 9.81141, recommend_rate:  38000,ssim: 0.99341, y_psnr: 48.419, u_psnr: 48.329, v_psnr: 48.506, yuv_psnr: 48.419, vmaf: 0.000, frame_type: 3
index:   24, size:  72131, qp: 22, enc_time:  3.58, black: 0, mvx:   905, mvy: -1130, intra_mb:  7535, inter_mb:   625, intra_ratio: 92.34, satd:    4144180, sqoe_score: 9.41405, sqoe_fr_score: 9.76733, recommend_rate:  38000,ssim: 0.99378, y_psnr: 48.840, u_psnr: 47.812, v_psnr: 47.897, yuv_psnr: 48.594, vmaf: 0.000, frame_type: 3
